Unnamed: 0,Data_Point,Test_Time(s),Date_Time,Step_Time(s),count,Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4
26.5,4721.0,58094.52630398603,2017-03-15 10:44:50,1022.6233785308024,,26,5.0,-5.000179290771484,3.3306970596313477,2.59543458050213,1.420398167017301,10.218658012385893,5.114624605746106,-0.0005474032950587571,0.021449139341711998,0.0,0.0,0.0,15.08646297454834,6.6913533210754395,6.637228965759277,7.219404220581055
26.5,4722.0,58104.54132394491,2017-03-15 10:45:00,1032.6383984896845,,26,5.0,-4.999831199645996,3.325502872467041,2.59543458050213,1.434309602402372,10.218658012385893,5.160924484892963,-0.0005474545760080218,0.021449139341711998,0.0,0.0,0.0,15.117287635803223,6.799335956573486,6.591129779815674,7.327356338500977
26.5,4723.0,58114.556321825024,2017-03-15 10:45:10,1042.6533963698032,,26,5.0,-5.00018310546875,3.3206143379211426,2.59543458050213,1.448220835448324,10.218658012385893,5.207152791124949,-0.0004866035596933216,0.021449139341711998,0.0,0.0,0.0,15.193872451782227,6.799335956573486,6.668196201324463,7.250369071960449
26.5,4724.0,58124.57130498597,2017-03-15 10:45:20,1052.6683795307465,,26,5.0,-5.000531196594238,3.315420150756836,2.59543458050213,1.462132510799235,10.218658012385893,5.253313335180674,-0.0005474517238326371,0.021449139341711998,0.0,0.0,0.0,15.270452499389648,6.722312927246094,6.745261192321777,7.327356338500977
26.5,4725.0,58134.58633774414,2017-03-15 10:45:31,1062.6834126088938,,26,5.0,-5.00089168548584,3.3105316162109375,2.59543458050213,1.476043831804798,10.218658012385893,5.299403352004134,-0.00048660641186870635,0.021449139341711998,0.0,0.0,0.0,15.347027778625488,6.722312927246094,6.668196201324463,7.327356338500977
26.5,4726.0,58144.60138202166,2017-03-15 10:45:41,1072.6984568864143,,26,5.0,-5.0005388259887695,3.305643081665039,2.59543458050213,1.489955497318652,10.218658012385893,5.345425787433901,-0.000547451083548367,0.021449139341711998,0.0,0.0,0.0,15.347027778625488,6.722312927246094,6.745261192321777,7.404341697692871
26.5,4727.0,58154.61635430321,2017-03-15 10:45:51,1082.7134291679663,,26,5.0,-5.0005412101745605,3.301060199737549,2.59543458050213,1.503867119604617,10.218658012385893,5.391380039482307,-0.00048660358879715204,0.021449139341711998,0.0,0.0,0.0,15.347027778625488,6.799335956573486,6.668196201324463,7.250369071960449
26.5,4728.0,58164.63137714193,2017-03-15 10:46:01,1092.7284516867055,,26,5.0,-5.000531196594238,3.295866012573242,2.59543458050213,1.51777867545272,10.218658012385893,5.437267203968236,-0.0005474531790241599,0.021449139341711998,0.0,0.0,0.0,15.500167846679688,6.799335956573486,6.591129779815674,7.404341697692871
26.5,4729.0,58174.64639550091,2017-03-15 10:46:11,1102.7434700456774,,26,5.0,-5.00089168548584,3.2909774780273438,2.59543458050213,1.531690092482017,10.218658012385893,5.483086372985792,-0.0005474528879858553,0.021449139341711998,0.0,0.0,0.0,15.423600196838379,6.8763556480407715,6.591129779815674,7.250369071960449
26.5,4730.0,58184.661258348584,2017-03-15 10:46:21,1112.75833321334,,26,5.0,-5.001253604888916,3.2863943576812744,2.59543458050213,1.545601468639889,10.218658012385893,5.528839008623449,-0.0005474397912621498,0.021449139341711998,0.0,0.0,0.0,15.500167846679688,6.799335956573486,6.591129779815674,7.327356338500977
26.5,4731.0,58194.67626134842,2017-03-15 10:46:31,1122.77333589319,,26,5.0,-5.000531196594238,3.281505823135376,2.59543458050213,1.55951298911412,10.218658012385893,5.574525787719844,-0.00048660635366104543,0.021449139341711998,0.0,0.0,0.0,15.638360023498535,6.938279628753662,6.730132579803467,7.389283180236816
26.5,4732.0,58204.69133250443,2017-03-15 10:46:41,1132.788407369187,,26,5.0,-5.0005412101745605,3.2769229412078857,2.59543458050213,1.573424588131063,10.218658012385893,5.620147816473966,-0.0004865968076046556,0.021449139341711998,0.0,0.0,0.0,15.576730728149414,6.8763556480407715,6.591129779815674,7.327356338500977
26.5,4733.0,58214.70635854297,2017-03-15 10:46:51,1142.8034330877472,,26,5.0,-5.000901222229004,3.2720344066619873,2.59543458050213,1.587335825020896,10.218658012385893,5.665702723880078,-0.0005473988712765276,0.021449139341711998,0.0,0.0,0.0,15.72984504699707,6.8763556480407715,6.591129779815674,7.250369071960449
26.5,4734.0,58224.72131770526,2017-03-15 10:47:01,1152.818392250034,,26,5.0,-5.0005388259887695,3.267756700515747,2.59543458050213,1.601247129789208,10.218658012385893,5.711192349228607,-0.00048660350148566067,0.021449139341711998,0.0,0.0,0.0,15.653289794921875,6.8763556480407715,6.745261192321777,7.404341697692871
